ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
BT1;CR2032;2032batPTH;Soporte batería CR2032 ;MPD;BH32T-C;..PCB/EDU-FSL/Datasheets;BH32T-C-ND;~;;
C1;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C2;4,7uF;c_1206POL;CAP TANT 4,7uF 6,3V 10% 1206 ;KEMET;T491A475K006AT;..PCB/EDU-FSL/Datasheets;399-9717-1-ND;1206;;
C3;100nF;c_0805;CAP CER 0,1UF 16V X7R 10% 0805;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C4;10uF;c_1206_tantalio;CAP TANT 10UF 10V 10% 1206;Kemet;T491A106K010AT;..PCB/EDU-FSL/Datasheet;399-3684-2-ND;1206;;
C5;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C6;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C7;10uF;c_1206_tantalio;CAP TANT 10UF 10V 10% 1206;Kemet;T491A106K010AT;..PCB/EDU-FSL/Datasheets;399-3684-2-ND;1206;;
C8;20pF;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-FSL/Datasheets;399-8033-1-ND;0805;;
C9;10uF;c_1206POL;CAP CER 10UF 16V 10% X7R 1206;KEMET;C1206C106K4RACTU;..PCB/EDU-FSL/Datasheets;399-3525-1-ND;1206;;
C10;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C11;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C12;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C13;10uF;c_1206POL;CAP CER 10UF 16V 10% X7R 1206;KEMET;C1206C106K4RACTU;..PCB/EDU-FSL/Datasheets;399-3525-1-ND;1206;;
C14;10uF;c_1206POL;CAP CER 10UF 16V 10% X7R 1206;KEMET;C1206C106K4RACTU;..PCB/EDU-FSL/Datasheets;399-3525-1-ND;1206;;
C15;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C16;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C17;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C18;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C19;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C20;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C21;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C22;100nF;c_0805;CAP CER 0,1UF 16V 10% X7R;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C23;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C24;10uF;c_1206POL;CAP CER 10UF 16V 10% X7R 1206;KEMET;C1206C106K4RACTU;..PCB/EDU-FSL/Datasheets;399-3525-1-ND;1206;;
C25;100nF;c_0805;CAP CER 0,1UF 16V X7R 10% 0805;KEMET;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C26;10uF;c_1206POL;CAP CER 10UF 16V 10% X7R 1206;Kemet;C1206C106K4RACTU;..PCB/EDU-FSL/Datasheets;399-3525-1-ND;1206 (3216 Metric);;
C27;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C28;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C29;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C30;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C31;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C32;20pF;c_0805;CAP CER 20PF 50V 5% NP0 0805;Kemet;C0805C200J5GACTU;..PCB/EDU-FSL/Datasheets;399-8033-1-ND;0805;;
C33;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C34;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
C35;100nF;c_0805;CAP CER 0.1UF 16V 10% X7R 0805;Kemet;C0805C104K4RACTU;..PCB/EDU-FSL/Datasheets;399-1167-1-ND;0805;;
